Token,IOB2
Magic,O
",",O
similar,O
to,O
a,O
creature,O
",",O
artifact,O
",",O
saga,O
",",O
battle,O
(,O
whatever,O
that,O
is,O
),O
",",O
etc,O
.,O
I,O
won,O
’,O
t,O
get,O
into,O
the,O
rules,O
minutia,O
here,O
",",O
so,O
just,O
know,O
that,O
planeswalkers,O
are,O
manifestations,O
of,O
popular,O
Magic,O
characters,O
in,O
card,O
form,O
",",O
meant,O
to,O
aid,O
you,O
in,O
your,O
quest,O
to,O
do,O
whatever,O
it,O
is,O
you,O
’,O
re,O
doing,O
in-game,O
.,O
Killing,O
your,O
opponents,O
",",O
presumably,O
.,O
Planeswalkers,O
either,O
saved,O
Magic,O
or,O
ruined,O
the,O
game,O
",",O
depending,O
on,O
who,O
you,O
talk,O
to,O
",",O
but,O
it,O
’,O
s,O
clear,O
that,O
they,O
’,O
ve,O
been,O
a,O
pivotal,O
card,O
type,O
in,O
the,O
development,O
of,O
Magic,O
since,O
their,O
release,O
in,O
Lorwyn,O
.,O
They,O
almost,O
always,O
occupy,O
chase,O
mythic,O
slots,O
in,O
new,O
sets,O
",",O
though,O
we,O
almost,O
never,O
see,O
more,O
than,O
a,O
handful,O
or,O
one,O
new,O
planeswalker,O
per,O
Standard,O
set,O
.,O
They,O
’,O
ve,O
been,O
a,O
driving,O
force,O
in,O
Magic,O
throughout,O
the,O
entirety,O
of,O
the,O
2010,O
’,O
s,O
.,O
I,O
normally,O
stick,O
to,O
Commander,O
for,O
my,O
lists,O
",",O
but,O
even,O
the,O
best,O
planeswalkers,O
in,O
Magic,O
are,O
still,O
kind,O
of,O
mediocre,O
in,O
Commander,O
",",O
where,O
you,O
have,O
three,O
players,O
beating,O
up,O
on,O
them,O
instead,O
of,O
just,O
one,O
.,O
I,O
’,O
ll,O
still,O
weave,O
in,O
Commander-oriented,O
‘,O
walkers,O
",",O
but,O
I,O
evaluate,O
them,O
more,O
abstractly,O
across,O
all,O
formats,O
(,O
except,O
Tiny,O
Leaders,O
),O
.,O
Finally,O
",",O
I,O
judge,O
these,O
cards,O
based,O
on,O
how,O
they,O
perform,O
today,O
",",O
not,O
how,O
they,O
performed,O
at,O
the,O
height,O
of,O
their,O
playability,O
.,O
Sorry,O
Jace,B-PLANESWALKER
",",I-PLANESWALKER
the,I-PLANESWALKER
Mind,I-PLANESWALKER
Sculptor,I-PLANESWALKER
and,O
Karn,B-PLANESWALKER
Liberated,I-PLANESWALKER
",",O
y,O
’,O
all,O
aren,O
’,O
t,O
the,O
top,O
dogs,O
around,O
here,O
no,O
more,O
.,O
Honorable,O
Mention,O
I,O
call,O
out,O
Luxior,B-ARTIFACT
",",I-ARTIFACT
Giada,I-ARTIFACT
's,I-ARTIFACT
Gift,I-ARTIFACT
for,O
the,O
power,O
to,O
make,O
a,O
creature,O
into,O
a,O
“,O
planeswalker,O
”,O
and,O
to,O
take,O
away,O
that,O
status,O
.,O
It,O
is,O
powerful,O
in,O
a,O
specific,O
way,O
.,O
Luxior,O
helps,O
you,O
dodge,O
planeswalker,O
removal,O
and,O
makes,O
a,O
substantial,O
creature,O
itself,O
.,O
#,O
61,O
.,O
Oko,B-PLANESWALKER
",",I-PLANESWALKER
Lorwyn,I-PLANESWALKER
Liege,I-PLANESWALKER
/,O
Oko,B-PLANESWALKER
",",I-PLANESWALKER
Shadowmoor,I-PLANESWALKER
Scion,I-PLANESWALKER
I,O
feel,O
like,O
I,O
had,O
to,O
include,O
Oko,B-PLANESWALKER
",",I-PLANESWALKER
Lorwyn,I-PLANESWALKER
Liege,I-PLANESWALKER
/,O
Oko,B-PLANESWALKER
",",I-PLANESWALKER
Shadowmoor,I-PLANESWALKER
Scion,I-PLANESWALKER
because,O
it,O
has,O
five,O
abilities,O
if,O
you,O
do,O
not,O
count,O
the,O
1-mana,O
transformation,O
trigger,O
.,O
The,O
minus,O
abilities,O
are,O
great,O
",",O
and,O
the,O
plus,O
abilities,O
are,O
great,O
at,O
adding,O
loyalty,O
.,O
Wrap,O
up,O
this,O
package,O
with,O
attacker,O
deterrent,O
",",O
card,O
advantage,O
",",O
creature,O
token,O
creation,O
and,O
a,O
strong,O
emblem,O
and,O
you,O
get,O
one,O
of,O
the,O
most,O
unique,O
transforming,O
planeswalkers,O
ever,O
.,O
#,O
60,O
.,O
Chandra,B-PLANESWALKER
",",I-PLANESWALKER
Awakened,I-PLANESWALKER
Inferno,I-PLANESWALKER
Chandra,O
must,O
be,O
the,O
character,O
with,O
the,O
most,O
planeswalker,O
cards,O
in,O
Magic,O
.,O
There,O
are,O
over,O
20,O
unique,O
Chandra,O
cards,O
",",O
all,O
of,O
which,O
do,O
the,O
same,O
thing,O
:,O
fiery,O
stuff,O
.,O
Chandra,B-PLANESWALKER
",",I-PLANESWALKER
Awakened,I-PLANESWALKER
Inferno,I-PLANESWALKER
is,O
in,O
the,O
lower,O
half,O
of,O
the,O
upper,O
few,O
",",O
mostly,O
because,O
it,O
’,O
s,O
an,O
uncounterable,O
mini-,O
board,O
wipe,O
",",O
and,O
the,O
emblem,O
effect,O
provides,O
uninteractable,O
inevitability,O
.,O
#,O
59,O
.,O
Gideon,B-PLANESWALKER
of,I-PLANESWALKER
the,I-PLANESWALKER
Trials,I-PLANESWALKER
Gideons,O
don,O
’,O
t,O
excite,O
me,O
that,O
much,O
",",O
but,O
we,O
’,O
ve,O
got,O
ta,O
pour,O
one,O
out,O
for,O
the,O
ones,O
we,O
’,O
ve,O
lost,O
.,O
Gideon,B-PLANESWALKER
",",I-PLANESWALKER
Ally,I-PLANESWALKER
of,I-PLANESWALKER
Zendikar,I-PLANESWALKER
was,O
big,O
news,O
for,O
a,O
while,O
but,O
has,O
mostly,O
fallen,O
into,O
obscurity,O
",",O
whereas,O
Gideon,B-PLANESWALKER
of,I-PLANESWALKER
the,I-PLANESWALKER
Trials,I-PLANESWALKER
is,O
the,O
most,O
unique,O
version,O
of,O
the,O
character,O
",",O
with,O
entire,O
Gideon-themed,O
decks,O
built,O
around,O
the,O
emblem,O
ability,O
.,O
#,O
58,O
.,O
Ashiok,B-PLANESWALKER
",",I-PLANESWALKER
Nightmare,I-PLANESWALKER
Muse,I-PLANESWALKER
Following,O
the,O
release,O
of,O
Ob,B-PLANESWALKER
Nixilis,I-PLANESWALKER
Reignited,I-PLANESWALKER
",",O
there,O
was,O
a,O
design,O
slump,O
of,O
nonstop,O
5-mana,O
planeswalkers,O
with,O
the,O
same,O
basic,O
design,O
:,O
1,O
for,O
card,O
advantage,O
",",O
-3,O
for,O
disruption,O
",",O
and,O
a,O
game-winning,O
ultimate,O
.,O
Ashiok,B-PLANESWALKER
",",I-PLANESWALKER
Nightmare,I-PLANESWALKER
Muse,I-PLANESWALKER
follows,O
this,O
template,O
",",O
but,O
the,O
blueprint,O
works,O
",",O
with,O
Ashiok,O
being,O
one,O
of,O
the,O
better,O
ones,O
due,O
the,O
1,O
ability,O
adding,O
material,O
to,O
the,O
board,O
rather,O
than,O
simply,O
drawing,O
a,O
card,O
.,O
#,O
57,O
.,O
Professor,B-PLANESWALKER
Dellian,I-PLANESWALKER
Fel,I-PLANESWALKER
Professor,B-PLANESWALKER
Dellian,I-PLANESWALKER
Fel,I-PLANESWALKER
is,O
a,O
planeswalker,O
that,O
appreciates,O
the,O
simple,O
things,O
in,O
life,O
.,O
It,O
pretty,O
easily,O
creates,O
a,O
Sanguine,B-ENCHANTMENT
Bond,I-ENCHANTMENT
emblem,O
that,O
is,O
virtually,O
impossible,O
to,O
remove,O
.,O
The,O
three,O
abilities,O
above,O
that,O
straight,O
up,O
Fell,B-SORCERY
a,O
creature,O
",",O
Phyrexian,B-ENCHANTMENT
Arena,I-ENCHANTMENT
",",O
or,O
supercharge,O
your,O
loyalty/trigger,O
the,O
Sanguine,B-ENCHANTMENT
Bond,I-ENCHANTMENT
combo,O
you,O
put,O
together,O
.,O
Not,O
a,O
game,O
changer,O
",",O
but,O
I,O
love,O
the,O
uses,O
on,O
this,O
Secrets,O
of,O
Strixhaven,O
card,O
.,O
#,O
56,O
.,O
Sorin,B-PLANESWALKER
Markov,I-PLANESWALKER
Back,O
in,O
the,O
day,O
we,O
used,O
Sorin,B-PLANESWALKER
Markov,I-PLANESWALKER
to,O
punish,O
anyone,O
foolish,O
enough,O
to,O
gain,O
infinite,O
life,O
or,O
set,O
up,O
an,O
unbreakable,O
pillow,O
fort,O
defense,O
.,O
And,O
by,O
“,O
back,O
in,O
the,O
day,O
”,O
I,O
mean,O
last,O
Friday,O
.,O
That,O
’,O
s,O
right,O
",",O
I,O
still,O
play,O
Sorin,O
in,O
Commander,O
and,O
I,O
’,O
m,O
not,O
ashamed,O
.,O
Take,O
that,O
",",O
Oloro,B-CREATURE
",",I-CREATURE
Ageless,I-CREATURE
Ascetic,I-CREATURE
players,O
from,O
2014,O
.,O
#,O
55,O
.,O
Aminatou,B-PLANESWALKER
",",I-PLANESWALKER
the,I-PLANESWALKER
Fateshifter,I-PLANESWALKER
About,O
95,O
%,O
of,O
Aminatou,B-PLANESWALKER
",",I-PLANESWALKER
the,I-PLANESWALKER
Fateshifter,I-PLANESWALKER
’,O
s,O
appeal,O
is,O
tied,O
up,O
in,O
its,O
second,O
ability,O
",",O
which,O
immediately,O
blinks,O
another,O
permanent,O
.,O
There,O
are,O
also,O
“,O
topdeck,O
matters,O
”,O
strategies,O
that,O
put,O
the,O
first,O
ability,O
to,O
good,O
use,O
",",O
and,O
the,O
ultimate,O
’,O
s,O
good,O
fun,O
when,O
it,O
happens,O
.,O
#,O
54,O
.,O
Quintorius,B-PLANESWALKER
",",I-PLANESWALKER
History,I-PLANESWALKER
Chaser,I-PLANESWALKER
Quintorius,B-PLANESWALKER
",",I-PLANESWALKER
History,I-PLANESWALKER
Chaser,I-PLANESWALKER
gets,O
the,O
prized,O
distinction,O
of,O
being,O
a,O
potential,O
commander,O
.,O
More,O
and,O
more,O
effects,O
cause,O
cards,O
to,O
leave,O
your,O
graveyard,O
and,O
getting,O
3-Feb,O
spirits,O
is,O
a,O
big,O
bonus,O
.,O
The,O
1,O
ability,O
results,O
in,O
a,O
lot,O
of,O
card,O
selection,O
since,O
you,O
're,O
using,O
your,O
graveyard,O
anyway,O
.,O
The,O
biggest,O
bummer,O
is,O
that,O
the,O
-4,O
ability,O
has,O
a,O
chance,O
of,O
folding,O
to,O
a,O
Fog,O
or,O
any,O
board,O
wipe,O
.,O
#,O
53,O
.,O
Daretti,B-PLANESWALKER
",",I-PLANESWALKER
Scrap,I-PLANESWALKER
Savant,I-PLANESWALKER
Daretti,B-PLANESWALKER
",",I-PLANESWALKER
Scrap,I-PLANESWALKER
Savant,I-PLANESWALKER
is,O
a,O
bit,O
narrow,O
",",O
but,O
the,O
Goblin,B-CREATURE
Welder,I-CREATURE
ability,O
lets,O
you,O
pull,O
off,O
some,O
strong,O
artifact,O
plays,O
",",O
and,O
the,O
reverse,O
Faithless,B-SORCERY
Looting,I-SORCERY
as,O
a,O
2,O
helps,O
shape,O
up,O
your,O
hand,O
.,O
It,O
’,O
s,O
a,O
shame,O
we,O
haven,O
’,O
t,O
seen,O
more,O
of,O
this,O
scrappy,O
character,O
.,O
#,O
52,O
.,O
Liliana,B-PLANESWALKER
",",I-PLANESWALKER
Dreadhorde,I-PLANESWALKER
General,I-PLANESWALKER
No,O
doubt,O
Liliana,B-PLANESWALKER
",",I-PLANESWALKER
Dreadhorde,I-PLANESWALKER
General,I-PLANESWALKER
is,O
powerful,O
",",O
but,O
6,O
mana,O
is,O
6,O
mana,O
",",O
and,O
I,O
wouldn,O
’,O
t,O
expect,O
your,O
opponents,O
to,O
be,O
happy,O
about,O
this,O
sitting,O
on,O
board,O
.,O
The,O
trick,O
is,O
to,O
line,O
up,O
the,O
Barter,B-SORCERY
in,I-SORCERY
Blood,I-SORCERY
mode,O
such,O
that,O
there,O
’,O
s,O
nothing,O
left,O
to,O
oppose,O
Lili,O
afterwards,O
.,O
I,O
honestly,O
want,O
to,O
move,O
this,O
higher,O
because,O
it,O
reminds,O
me,O
of,O
that,O
incredible,O
War,O
of,O
the,O
Spark,O
trailer,O
.,O
#,O
51,O
.,O
Sarkhan,B-PLANESWALKER
the,I-PLANESWALKER
Masterless,I-PLANESWALKER
Sarkhan,B-PLANESWALKER
the,I-PLANESWALKER
Masterless,I-PLANESWALKER
supports,O
superfriends,O
and,O
dragons,O
",",O
and,O
little,O
else,O
.,O
It,O
’,O
s,O
a,O
little,O
more,O
than,O
what,O
you,O
’,O
d,O
expect,O
from,O
this,O
completely,O
one-note,O
character,O
",",O
but,O
Sarkhan,O
knows,O
what,O
he,O
wants,O
to,O
be,O
.,O
#,O
50,O
.,O
Estrid,B-PLANESWALKER
",",I-PLANESWALKER
the,I-PLANESWALKER
Masked,I-PLANESWALKER
Is,O
that,O
Tilda,O
Swinton,O
from,O
Doctor,O
Strange,O
?,O
Estrid,B-PLANESWALKER
",",I-PLANESWALKER
the,I-PLANESWALKER
Masked,I-PLANESWALKER
felt,O
very,O
popular,O
for,O
the,O
first,O
few,O
years,O
after,O
its,O
release,O
",",O
but,O
I,O
suppose,O
enchantress,O
has,O
myriad,O
other,O
commanders,O
on,O
tap,O
.,O
Making,O
Mask,O
tokens,O
is,O
pretty,O
cool,O
",",O
Estrid,O
pairs,O
well,O
with,O
land,O
enchantments,O
like,O
Overgrowth,B-ENCHANTMENT
",",O
and,O
the,O
ultimate,O
is,O
sufficiently,O
powerful,O
without,O
immediately,O
ending,O
the,O
game,O
.,O
#,O
49,O
.,O
Ral,B-PLANESWALKER
Zarek,I-PLANESWALKER
",",I-PLANESWALKER
Guest,I-PLANESWALKER
Lecturer,I-PLANESWALKER
Ral,B-PLANESWALKER
Zarek,I-PLANESWALKER
",",I-PLANESWALKER
Guest,I-PLANESWALKER
Lecturer,I-PLANESWALKER
hands,O
out,O
class,O
surveys,O
",",O
I,O
mean,O
surveils,O
",",O
and,O
lets,O
you,O
capitalize,O
on,O
the,O
graveyard,O
nicely,O
.,O
The,O
-7,O
ability,O
is,O
like,O
a,O
mean,O
extra,O
turn,O
spell,O
that,O
you,O
play,O
for,O
the,O
three,O
players,O
that,O
are,O
behind,O
the,O
one,O
in,O
the,O
lead,O
.,O
You,O
got,O
ta,O
love,O
the,O
flip,O
on,O
Ral,B-PLANESWALKER
Zarek,I-PLANESWALKER
‘,O
s,O
ultimate,O
and,O
in,O
1v1,O
",",O
this,O
is,O
five,O
Stitch,B-SORCERY
in,I-SORCERY
Time,I-SORCERY
s.,O
#,O
48,O
.,O
Ral,B-PLANESWALKER
",",I-PLANESWALKER
Crackling,I-PLANESWALKER
Wit,I-PLANESWALKER
Ral,B-PLANESWALKER
",",I-PLANESWALKER
Crackling,I-PLANESWALKER
Wit,I-PLANESWALKER
just,O
loves,O
those,O
prowess,O
triggers,O
.,O
Yes,O
",",O
those,O
Izzet,O
cantrips,O
go,O
way,O
up,O
in,O
value,O
",",O
but,O
a,O
simple,O
Sol,B-ARTIFACT
Ring,I-ARTIFACT
into,O
an,O
Arcane,B-ARTIFACT
Signet,I-ARTIFACT
puts,O
this,O
very,O
close,O
to,O
the,O
ultimate,O
and,O
one,O
of,O
the,O
best,O
planeswalkers,O
a,O
storm,O
deck,O
can,O
ask,O
for,O
.,O
At,O
the,O
end,O
of,O
the,O
day,O
if,O
you,O
play,O
Ral,O
just,O
for,O
the,O
otter,O
art,O
and,O
otter,O
tokens,O
",",O
it,O
's,O
still,O
really,O
good,O
.,O
#,O
47,O
.,O
Sorin,B-PLANESWALKER
of,I-PLANESWALKER
House,I-PLANESWALKER
Markov,I-PLANESWALKER
/,O
Sorin,B-PLANESWALKER
",",I-PLANESWALKER
Ravenous,I-PLANESWALKER
Neonate,I-PLANESWALKER
Sorin,B-PLANESWALKER
of,I-PLANESWALKER
House,I-PLANESWALKER
Markov,I-PLANESWALKER
and,O
importantly,O
the,O
transformed,O
side,O
",",O
Sorin,B-PLANESWALKER
",",I-PLANESWALKER
Ravenous,I-PLANESWALKER
Neonate,I-PLANESWALKER
give,O
you,O
more,O
access,O
to,O
extort,O
.,O
Thankfully,O
",",O
if,O
you,O
play,O
Sorin,O
in,O
your,O
first,O
main,O
phase,O
",",O
have,O
a,O
lifelink,O
creature,O
",",O
or,O
your,O
deck,O
could,O
already,O
support,O
Griffin,B-ENCHANTMENT
Aerie,I-ENCHANTMENT
",",O
you,O
can,O
flip,O
into,O
the,O
Neonate,O
the,O
turn,O
you,O
play,O
it,O
.,O
The,O
-1,O
removal,O
option,O
is,O
great,O
and,O
the,O
added,O
lifedrain,O
for,O
each,O
of,O
your,O
spells,O
is,O
simply,O
vicious,O
.,O
A,O
really,O
incredible,O
investment,O
for,O
a,O
2-drop,O
that,O
is,O
easy,O
to,O
turn,O
into,O
a,O
strong,O
Orzhov,O
card,O
.,O
#,O
46,O
.,O
Liliana,B-PLANESWALKER
of,I-PLANESWALKER
the,I-PLANESWALKER
Veil,I-PLANESWALKER
Maybe,O
5-Oct,O
years,O
ago,O
Liliana,B-PLANESWALKER
of,I-PLANESWALKER
the,I-PLANESWALKER
Veil,I-PLANESWALKER
would,O
’,O
ve,O
taken,O
a,O
top,O
spot,O
",",O
but,O
times,O
have,O
changed,O
and,O
the,O
veil,O
has,O
been,O
lifted,O
.,O
Never,O
particularly,O
good,O
in,O
Commander,O
",",O
past,O
its,O
prime,O
in,O
most,O
Constructed,O
formats,O
",",O
and,O
only,O
reasonable,O
at,O
best,O
in,O
current,O
Standard,O
",",O
it,O
’,O
s,O
clear,O
that,O
this,O
iconic,O
black,O
planeswalker,O
hasn,O
’,O
t,O
kept,O
up,O
.,O
#,O
45,O
.,O
Elspeth,B-PLANESWALKER
Resplendent,I-PLANESWALKER
Every,O
rendition,O
of,O
Elspeth,O
has,O
been…,O
fine,O
.,O
They,O
see,O
their,O
time,O
in,O
Standard,O
then,O
move,O
on,O
to,O
become,O
niche,O
playables,O
in,O
Commander/,O
Cube,O
.,O
The,O
character,O
’,O
s,O
great,O
though,O
",",O
so,O
we,O
’,O
ve,O
got,O
to,O
shout,O
out,O
at,O
least,O
one,O
Elspeth,O
card,O
.,O
Elspeth,B-PLANESWALKER
Resplendent,I-PLANESWALKER
is,O
probably,O
the,O
most,O
versatile,O
of,O
them,O
all,O
",",O
though,O
Elspeth,B-PLANESWALKER
",",I-PLANESWALKER
Knight-Errant,I-PLANESWALKER
and,O
Elspeth,B-PLANESWALKER
",",I-PLANESWALKER
Sun,I-PLANESWALKER
's,I-PLANESWALKER
Champion,I-PLANESWALKER
certainly,O
had,O
their,O
time,O
in,O
the,O
spotlight,O
.,O
#,O
44,O
.,O
Garruk,B-PLANESWALKER
",",I-PLANESWALKER
Cursed,I-PLANESWALKER
Huntsman,I-PLANESWALKER
Garruk,O
is,O
another,O
character,O
who,O
hasn,O
’,O
t,O
contributed,O
much,O
to,O
the,O
pantheon,O
of,O
Magic,O
’,O
s,O
best,O
cards,O
",",O
though,O
Garruk,B-PLANESWALKER
",",I-PLANESWALKER
Cursed,I-PLANESWALKER
Huntsman,I-PLANESWALKER
is,O
a,O
perfectly,O
respectable,O
planeswalker,O
.,O
Two,O
bodies,O
on,O
entry,O
is,O
always,O
great,O
",",O
and,O
this,O
Garruk,O
ultimates,O
immediately,O
with,O
the,O
help,O
of,O
Carth,B-CREATURE
the,I-CREATURE
Lion,I-CREATURE
.,O
#,O
43,O
.,O
Nissa,B-PLANESWALKER
",",I-PLANESWALKER
Vastwood,I-PLANESWALKER
Seer,I-PLANESWALKER
/,O
Nissa,B-PLANESWALKER
",",I-PLANESWALKER
Sage,I-PLANESWALKER
Animist,I-PLANESWALKER
I,O
originally,O
planned,O
to,O
include,O
only,O
one,O
of,O
each,O
named,O
planeswalker,O
as,O
the,O
best,O
of,O
that,O
character,O
",",O
but,O
have,O
you,O
seen,O
all,O
the,O
different,O
versions,O
of,O
Nissa,O
?,O
Nissa,B-PLANESWALKER
",",I-PLANESWALKER
Vastwood,I-PLANESWALKER
Seer,I-PLANESWALKER
is,O
my,O
personal,O
fave,O
",",O
a,O
Civic,B-CREATURE
Wayfinder,I-CREATURE
that,O
transforms,O
into,O
a,O
sweet,O
card,O
advantage,O
engine,O
with,O
admittedly,O
lackluster,O
minus,O
abilities,O
.,O
The,O
1,O
on,O
Nissa,B-PLANESWALKER
",",I-PLANESWALKER
Sage,I-PLANESWALKER
Animist,I-PLANESWALKER
is,O
literally,O
the,O
text,O
on,O
Coiling,B-CREATURE
Oracle,I-CREATURE
",",O
so,O
I,O
don,O
’,O
t,O
need,O
much,O
more,O
here,O
.,O
#,O
42,O
.,O
Chandra,B-PLANESWALKER
",",I-PLANESWALKER
Hope,I-PLANESWALKER
’,I-PLANESWALKER
s,I-PLANESWALKER
Beacon,I-PLANESWALKER
Another,O
day,O
",",O
another,O
Chandra,O
.,O
The,O
passive,O
ability,O
is,O
the,O
real,O
draw,O
on,O
March,O
of,O
the,O
Machineplaneswalker,O
",",O
Chandra,B-PLANESWALKER
",",I-PLANESWALKER
Hope,I-PLANESWALKER
's,I-PLANESWALKER
Beacon,I-PLANESWALKER
",",O
allowing,O
you,O
to,O
copy,O
spells,O
while,O
the,O
loyalty,O
abilities,O
play,O
board,O
control,O
.,O
It,O
’,O
s,O
still,O
a,O
6-mana,O
planeswalker,O
that,O
essentially,O
does,O
what,O
you,O
could,O
be,O
using,O
Double,B-ENCHANTMENT
Vision,I-ENCHANTMENT
to,O
do,O
instead,O
",",O
but,O
you,O
can,O
’,O
t,O
disregard,O
the,O
extra,O
abilities,O
here,O
.,O
#,O
41,O
.,O
Elminster,B-PLANESWALKER
Cost,O
reduction,O
is,O
usually,O
a,O
tell-tale,O
sign,O
of,O
a,O
powerful,O
card,O
",",O
and,O
you,O
can,O
certainly,O
build,O
around,O
Elminster,B-PLANESWALKER
to,O
maximize,O
its,O
passive,O
ability,O
.,O
It,O
’,O
s,O
not,O
the,O
flashiest,O
planeswalker,O
out,O
there,O
",",O
but,O
it,O
’,O
s,O
playing,O
around,O
in,O
scry,O
territory,O
",",O
which,O
still,O
feels,O
like,O
fairly,O
underexplored,O
design,O
space,O
.,O
#,O
40,O
.,O
Quintorius,B-PLANESWALKER
Kand,I-PLANESWALKER
There,O
sure,O
are,O
some,O
weird,O
memes,O
going,O
around,O
about,O
Quintorius,B-PLANESWALKER
Kand,I-PLANESWALKER
right,O
now,O
",",O
but,O
I,O
guess,O
they,O
’,O
re,O
just,O
not,O
meant,O
for,O
me,O
.,O
Anyway,O
",",O
here,O
’,O
s,O
that,O
5-mana,O
#NAME?,O
configuration,O
I,O
mentioned,O
",",O
except,O
this,O
time,O
with,O
a,O
static,O
ability,O
.,O
That,O
’,O
s,O
the,O
appealing,O
part,O
",",O
sending,O
little,O
Lightning,B-INSTANT
Helix,I-INSTANT
es,O
at,O
your,O
opponents,O
when,O
you,O
cast,O
spells,O
from,O
exile,O
",",O
which,O
has,O
become,O
exceedingly,O
easy,O
to,O
do,O
.,O
#,O
39,O
.,O
Tezzeret,B-PLANESWALKER
the,I-PLANESWALKER
Seeker,I-PLANESWALKER
Tezzeret,B-PLANESWALKER
the,I-PLANESWALKER
Seeker,I-PLANESWALKER
’,O
s,O
not,O
as,O
ubiquitous,O
as,O
it,O
once,O
was,O
",",O
but,O
don,O
’,O
t,O
count,O
it,O
out,O
.,O
The,O
-5,O
was,O
never,O
all,O
that,O
important,O
",",O
and,O
the,O
other,O
abilities,O
still,O
hold,O
up,O
",",O
whether,O
you,O
’,O
re,O
using,O
them,O
to,O
combo,O
with,O
The,B-ARTIFACT
Chain,I-ARTIFACT
Veil,I-ARTIFACT
or,O
tutoring,O
up,O
a,O
mid-cost,O
utility,O
artifact,O
.,O
#,O
38,O
.,O
Jace,B-PLANESWALKER
",",I-PLANESWALKER
Wielder,I-PLANESWALKER
of,I-PLANESWALKER
Mysteries,I-PLANESWALKER
Jace,B-PLANESWALKER
",",I-PLANESWALKER
Wielder,I-PLANESWALKER
of,I-PLANESWALKER
Mysteries,I-PLANESWALKER
would,O
score,O
higher,O
if,O
the,O
passive,O
ability,O
were,O
unique,O
to,O
this,O
card,O
",",O
but,O
Laboratory,B-CREATURE
Maniac,I-CREATURE
beat,O
it,O
to,O
the,O
chase,O
",",O
and,O
Thassa,B-CREATURE
's,I-CREATURE
Oracle,I-CREATURE
has,O
a,O
stranglehold,O
on,O
self-mill,O
-as-a-,O
winconstrategies,O
.,O
Still,O
",",O
a,O
backup,O
never,O
hurts,O
.,O
#,O
37,O
.,O
Kiora,B-PLANESWALKER
",",I-PLANESWALKER
Behemoth,I-PLANESWALKER
Beckoner,I-PLANESWALKER
Underappreciated,O
Kiora,B-PLANESWALKER
",",I-PLANESWALKER
Behemoth,I-PLANESWALKER
Beckoner,I-PLANESWALKER
is,O
half,O
ramp,O
",",O
half,O
Garruk,B-ENCHANTMENT
's,I-ENCHANTMENT
Uprising,I-ENCHANTMENT
",",O
and,O
it,O
starts,O
off,O
with,O
high,O
loyalty,O
.,O
It,O
’,O
s,O
one,O
of,O
many,O
WAR,O
planeswalkers,O
that,O
can,O
’,O
t,O
tick,O
up,O
",",O
but,O
you,O
’,O
ll,O
get,O
plenty,O
from,O
Kiora,O
before,O
the,O
card,O
returns,O
to,O
the,O
depths,O
from,O
whence,O
it,O
came,O
.,O
#,O
36,O
.,O
Dihada,B-PLANESWALKER
",",I-PLANESWALKER
Binder,I-PLANESWALKER
of,I-PLANESWALKER
Wills,I-PLANESWALKER
Dihada,B-PLANESWALKER
",",I-PLANESWALKER
Binder,I-PLANESWALKER
of,I-PLANESWALKER
Wills,I-PLANESWALKER
plays,O
